"-OR-","-VEYA-"
"Proxy Port","Vekil Sunucu Portu"
"Qty","Miktar"
"Reauthorization","Yeniden Onaylama"
"Reference Information","Referans Bilgisi"
"Reimbursement for a chargeback.","Geri ödeme için geri ödeme."
"Reimbursement of Chargeback","Geri ödemenin iadesi"
"Report Date","Rapor Tarihi"
"Reports","Raporlar"
"Require CVV Entry","CVV Bilgisi iste"
"Require Customer's Billing Address","Müşterinin Fatura Adresini İste"
"Required PayPal Settings","Paypal Ayarları Zorunludur"
"Required Settings","Zorunlu Ayarlar"
"Reversal","İptal"
"Reversal of General Account Hold","Genel Hesap Tutma İptali"
"Reversal of Points Usage","Puan Kullanımı İadesi"
"Reversal of an adjustment.","Ayarlama İadesi."
"Reversal of hold for Dispute Investigation","Araştırma nedeniyle tutulan ücretin iadesi"
"Review Order","Siparişi Yorumla"
"Reward Voucher Redemption","Ödül Çeki Bozdurma"
"SFTP Credentials","SFTP Hesap Bilgileri"
"Sale","Satış"
"Sales","Satışlar"
"Same as shipping","Teslimat ile Aynı"
"Sandbox Credentials","Sandbox (Test) Hesap Bilgileri"
"Sandbox Mode","Sandbox (Test) Kipi"
"Schedule","Zamanlama"
"Schedule description is too long.","Zamanlama açıklaması çok uzun."
"Scheduled Fetching","Zamanlanmış Tahsilat"
"Select a Payment Solution","Bir Ödeme Çözümü Seçiniz"
"Send Email Confirmation","E-posta Onayı Gönder"
"Server Error. Please try again.","Sunucu hatası. Lütfen tekrar deneyiniz."
"Settlement Consolidation","Bakiye Konsodilasyonu"
"Settlement Report Settings","Anlaşma Raporu Ayarları"
"Settlement of a chargeback.","İade anlaşması."
"Severe 3D Secure Card Validation","Nihai 3D Secure Kart Doğrulaması"
"Severe Validation Removes Chargeback Liability on Merchant","Son doğrulama satıcının iade zorunluluğunu ortadan kaldırır."
"Severe validation removes chargeback liability on merchant.","Son doğrulama satıcının iade zorunluluğunu ortadan kaldırır."
"Shipping","Teslimat"
"Shipping Address","Teslimat Adresi"
"Shipping Method","Teslimat Yöntemi"
"Shop now using (150 X 40)","Hemen Al (150 X 40)"
"Shop now using (150 X 60)","Hemen Al (150 X 60)"
"Shortcut","Kısayol"
"Shortcut Buttons Flavor","Kısayol Butonu Şekli"
"Shortcut on Product View","Ürün Görünmündeki Kısayol"
"Shortcut on Shopping Cart","Sepetteki Kısayol"
"Sign a billing agreement to streamline further purchases with PayPal.","PayPal ile satın almaları daha fazla kolaylaştırmak için bir ödeme sözleşmesi yapabilirsiniz."
"Solo","Solo"
"Some PayPal solutions conflict.","Bazı PayPal çözümleri çakışmaktadır."
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için sepet bulunamadı."
"Sort Order","Sıralama"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Satıcının Paypal hesabındaki Yetkilendirme Onur Periyodu ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Siparişin Geçerlilik Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"State/Province","Eyalet/Şehir"
"Static","Statik"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submitting order information...","Sipariş bilgisi gönderiliyor…"
"Subscriber name is too long.","Abone adı çok uzun."
"Subscription ID","Abonelik No"
"Subscription Payment, either payment sent or payment received","Ödeme Aboneliği, ödeme gönder veya ödeme al."
"Subtotal","Ara Toplam"
"Summary Text for Aggregated Cart","Birleştirilmiş sepet için Özet Metni"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","American Express kartlarına destek vermek için ek anlaşma gerekmektedir. Daha fazla bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefon"
"Test Mode","Test Kipi"
"The background color for the checkout page around the header and payment form.","Başlık ve ödeme formu arkasındaki alanı kaplayacak arka plan rengi."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Alışveriş sonu sayfası ve ödeme formu için arka plan rengi. 6 karakterli Hex renk kodu giriniz."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Alt doğrulama işlemi sayısı için varsayılan değer. Bu değer PayPal sisteminde varsayılan olarak 1 dir. Bu değeri artırarak aynı anda 1 den fazla doğrulama işlemi yapabilmek istiyorsanız PayPal ile iletişim kurun."
"The following error(s) occured:","Aşağıdaki hata(lar) meydana geldi:"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Resim, alışveriş sayfasının üst sol köşesindedir. Maksimum boyut, 750x90 pixeldir. <strong style=""color:red"">https</strong> ısrarla önerilmektedir."
"The maximum number of child authorizations is reached.","Maksimum alt onay sayısına ulaşıldı."
"The merchant account is not yet verified.","Satıcı hesabı henüz onaylanmadı."
"The payment curency does not match any of the merchant\'s balances currency.","Ödeme para birimi, satıcı hesap para birimi ile uyuşmamaktadır."
"The payment eCheck is not yet cleared.","Ödeme eCheck henüz ödenmedi."
"The payment is authorized but not settled.","Ödeme proziyonu alındı fakat ödeme henüz alınmadı."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Ödeme, e-posta adresi henüz kayıtlı olmadığından veya onaylanmadığından bekliyor statüsünde olacaktır."
"The payment is pending while it is being reviewed by PayPal for risk.","Ödeme, Paypal risk kontrolünü yapana kadar bekliyor statüsünde olacaktır."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Ödeme kredi kartı ile yapıldı.  Satıcının bu siparişin ödemesini alabilmesi için hesabın Business veya Premier seviyeye yükseltmesi gerekmektedir."
"There is already another PayPal solution enabled. Enable this solution instead?","Başka bir PayPal çözümü aktif durumdadır. Yerine bu çözümü etkinleştirmek ister misiniz?"
"There was an error processing your order. Please contact us or try again later.","Sipariş işleminde bir hata meydana geldi. Lütfen bizimle irtibata geçiniz veya daha sonra tekrar deneyiniz."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Bu özellik, öncelikle Paypal teknik destek yoluyla satıcı  hesabının aktif olmasını gerektirir."
"This operation requires an existing transaction object.","Bu işlem mevcut işlem nesnesi gerektirmektedir."
"Time of Day","Zaman"
"Title","Başlık"
"Transaction ID","İşlem ID"
"Transaction ID must not be empty.","İşlem ID boş bırakılamaz."
"Transaction Information","İşlem Bilgisi"
"Transaction reversal by PayPal administrators.","PayPal tarafından dönen işlem sahte olarak algılandı."
"Transaction reversal due to fraud detected by PayPal administrators.","PayPal tarafından dönen işlem sahte olarak algılandı."
"Transfer Cart Line Items","Transfer Sepet Ürünleri"
"Transfer Shipping Options","Transfer Teslimat Seçenekleri"
"Triggered Fraud Filters","Tetiklenen Sahte İşlem Filtreleri"
"URL method for Cancel URL and Return URL","İptal ve Dönüş işlem URL si için URL metodu"
"Unable to cancel Express Checkout.","Express Checkout iptal edilemedi."
"Unable to change status. Current status is not correspond to real status.","Durum değişimi yapılamadı. Mevcut durum, gerçek durumu karşılamamaktadır."
"Unable to communicate with the PayPal gateway.","PayPal ile iletişim kurulamadı."
"Unable to initialize Express Checkout review.","Express Checkout gözden geçirme başlatılamadı."
"Unable to initialize Express Checkout.","Express Checkout başlatılamadı."
"Unable to place the order.","Sipariş oluşturulamadı."
"Unable to process Express Checkout approval.","Express Checkout Onaylama işlemi yapılamadı."
"Unable to start Express Checkout.","Express Checkout başlatılamadı."
"Unable to update Order data.","Sipariş güncellenemedi."
"Unable to update shipping method.","Teslimat yöntemi güncellenemedi."
"Unknown Error. Please try again later.","Bilinmeyen hata. Lütfen daha sonra tekrar deneyiniz."
"Unknown reason. Please contact PayPal customer service.","Bilinmeyen sebep. Lütfen PayPal müşteri hizmetleri ile irtibata geçiniz."
"Update Order Data","Siparişi Güncelle"
"Use Proxy","Vekil Sunucu Kullan"
"Use colon to specify port. For example: ""test.example.com:5224"".","Port belirtmek için iki nokta kullanın. Örnek: ""test.example.com:5224""."
"User","Kullanıcı"
"User-initiated Currency Conversion","Kullanıcı tarafından başlatılan Döviz Çevrimi"
"Uses store frontend name by default.","Varsayılan olarak mağaza adını kullanır."
"VAT Number","Vergi Numarası"
"Vendor","Tedarikçi"
"View","Göster"
"View Demo","Demo Göster"
"View Transaction","İşlemi Göster"
"View Transaction Details","İşlem Detayını Göster"
"Virtual PayPal Debit Card Transaction","Sanal Paypal Debit Kartı İşlemi"
"Virtual Terminal Payment","Sanal Terminal Ödemesi"
"Void","İptal edildi"
"We prefer PayPal (150 X 40)","PayPal ı Öneriyoruz (150 X 40)"
"We prefer PayPal (150 X 60)","PayPal ı Öneriyoruz (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Pro (Includes Express Checkout)","Website Payments Pro (Express Checkout dahil)"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Çözüm"
"Website Payments Pro Hosted Solution (Includes Express Checkout)","Website Payments Pro Hosted Solution (Express Checkout içerir)"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution ve Express Checkout"
"Website Payments Pro Payflow Edition (Includes Express Checkout)","Website Payments Pro (Payflow Edition) (Ekspres Checkout içerir)"
"Website Payments Pro Payflow Edition and Express Checkout","Website Payments Pro Payflow Edition ve Express Checkout"
"Website Payments Pro and Express Checkout","Website Payments Pro ve Express Checkout"
"Website Payments Standard","Website Payments Standart"
"Website Payments Standard Payment","Website Payments Standart Tahsilat"
"What is PayPal?","PayPal nedir?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eğer aktif ödeme sözleşmesi yoksa, yeni sözleşme oluşturunuz."
"Will appear as a payment option only for customers who have at least one active billing agreement.","En azından bir aktif fatura anlaşması (periyodik ödeme) olan müşteriler için bir ödeme seçeneği olacaktır."
"WorldLink Withdrawal","WorldLink Ödeme Alma"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Ödemelerinizi düzenli alabilmek için PayPal ile ödeme sözleşmesi imzalamak ister misiniz?"
"Wrong PayPal Express Checkout Token specified.","Hatalı PayPal Express Checkout anahtar verisi."
"Yes","Evet"
"Yes. Matched Address and five-didgit ZIP","Evet. Adres ve 5 haneli posta kodu eşleşti"
"You cannot void a verification transaction","Doğrulama işlemini iptal edemezsiniz"
"You will be redirected to the PayPal website in a few seconds.","Birazden PayPal web sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website when you place an order.","Siparişinizi tamamlamak için PayPal sitesine yönlendirileceksiniz."
"You will be redirected to the PayPal website.","PayPal web sitesine yönlendirileceksiniz."
"You will be required to enter your payment details after you place an order.","Siparişiniz kaydedildikten sonra istenen ödeme detaylarını girmeniz gerekecektir."
"Zip/Postal Code","Zip/Posta Kodu"
"eBay Auction Payment","eBay Açık Artırma Ödemesi"
