"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Ürün(ler)"
"%s and above","%s ve aşağısı"
"Price values for options should be specified in system base currency.","Ürün Seçeneklerinin fiyatlandırılması sistemde para birimi ile yapılmalıdır."
"Price:","Fiyat:"
"Price: %s","Fiyat: %s"
"Print This Page","Bu sayfayı yazdır"
"Product","Ürün"
"Product API","Product API"
"Product Alerts","Ürün Alarmları"
"Product Attribute","Ürün Özellikleri"
"Product Attributes","Ürün Özellikleri"
"Product Categories","Ürün Kategorileri"
"Product Description","Ürün Açıklaması"
"Product Extra Info","Ürün Ek Bilgi"
"Product Flat Data","Sabit Ürün Tablosu"
"Product ID","Ürün No"
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Product Images","Ürün Resimleri"
"Product Images API","Ürün Resimleri API si"
"Product In Websites","Websitelerindeki Ürün"
"Product Info Column","Ürün Bilgisi Kolonu"
"Product Information","Ürün Bilgisi"
"Product Link Block Template","Ürün Link Blok Şablonu"
"Product Link Inline Template","Ürün Linki İç Şablonu"
"Product Listing Sort by","Ürün Listeleme Sıralaması"
"Product Name","Ürün Adı"
"Product Prices","Ürün Fiyatları"
"Product Reviews","Ürün Yorumları"
"Product Tags","Ürün Etiketleri"
"Product Tier Price API","Ürün katman fiyatı API si"
"Product Type","Ürün Tipi"
"Product URL Suffix","Ürün URL Soneki"
"Product View Extra Hint","Ürün Görünümü Ekstra İpucu"
"Product attribute sets API","Ürün özellik setleri API si"
"Product attributes API","Ürün özellikleri API si"
"Product collection expected.","Ürün kolleksiyonu bekleniyor."
"Product is not loaded","Ürün yüklenemedi"
"Product links API (related, cross sells, up sells)","Ürün linkleri API si (ilişkili, çapraz satış, üst satış)"
"Product types API","Ürün Tipleri API si"
"Product with this combination of attributes already associated to configurable.","Bu ürün aynı kombinasyonla ayarlanabilir ürün olarak zaten var."
"Products","Ürünler"
"Products Comparison List","Ürün Karşılaştırma Listesi"
"Products Information","Ürün Bilgisi"
"Products Reviews","Ürün Yorumları"
"Products Sitemap","Ürünlerin Site Haritası"
"Products only","Sadece ürünler"
"Products per Page on Grid Allowed Values","Izgara Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on Grid Default Value","Izgara Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Products per Page on List Allowed Values","Liste Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on List Default Value","Liste Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Properties","Özellikler"
"Qty","Miktar"
"Qty Increments","Miktar Arttırımı"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Qty for Item\'s Status to Become Out of Stock","Ürünün Stokta Yok olarak gözükmesi için gereken adet"
"Qty:","Miktar:"
"Quantity","Miktar"
"Quick Create","Hızlı Oluştur"
"Quick Overview","Hızlı Gözat"
"Quick simple product creation","Hızlı basit ürün oluşturma"
"Records for ""%s"" store found.","Mağaza için ""%s"" kayıt bulundu."
"Redirect","Yönlendirilmiş"
"Redirect URL","Yönlendirilen URL"
"Regular Price:","Normal Fiyat:"
"Related Products","İlişkili Ürünler"
"Remove","Sil"
"Remove Product From Websites","Ürünü Websitelerinden Sil"
"Remove This Item","Bu ürünü sil"
"Remove attribute from attribute set","Özellik setinden özellik sil"
"Remove attribute set","Özellik setini sil"
"Remove custom option","Özel seçeneği sil"
"Remove group from attribute set","Özellik setinden grup sil"
"Remove option","Seçenek sil"
"Remove product assignment","Ürün atamasını kaldır"
"Remove product image","Ürün resmini sil"
"Remove product link","Ürün linkini sil"
"Remove value from custom option","Özel seçenekten değer sil"
"Rename existing group","Varolan grubun adını değiştir"
"Rename group","Grubun adını değiştir"
"Reorganize EAV category structure to flat structure","EAV kategori yapısını sabit yapıya çevir"
"Reorganize EAV product structure to flat structure","EAV ürün yapısını sabit yapıya çevir"
"Reset","Sıfırla"
"Results","Sonuçlar"
"Retrieve attribute data","Özellik verisi getir"
"Retrieve attribute list","Özellik listesi getir"
"Retrieve attribute options","Özellik seçeneklerini getir"
"Retrieve categories tree","Kategori ağacını getir"
"Retrieve category attributes","Kategori özelliklerini getir"
"Retrieve category data","Kategori verisini getir"
"Retrieve hierarchical tree","Hiyerarşik ağacı getir"
"Retrieve linked products","Bağlantılı ürünler geri alındı"
"Retrieve list of assigned products","Atanmış ürünlerin listesini al"
"Retrieve list of option values","Seçenek değerleri listesini getir"
"Retrieve list of product custom options","Ürün özel seçenekleri listesini getir"
"Retrieve one level of categories by website/store view/parent category","Kategorilerin bir seviyesini, web sitesine/mağaza görünümüne/üst kategoriye göre getir"
"Retrieve option value info","Seçenek değeri bilgisini getir"
"Retrieve product","Ürün getir"
"Retrieve product attribute sets","Ürün özellik setlerini getir"
"Retrieve product image","Ürün resmini getir"
"Retrieve product image list","Ürün resim listesini getir"
"Retrieve product image types","Ürün resim tiplerini getir"
"Retrieve product link type attributes","Ürün link tipi özelliklerini getir"
"Retrieve product link types","Ürün link tiplerini getir"
"Retrieve product tier prices","Ürün katman fiyatlarını getir"
"Retrieve product types","Ürün tiplerini getir"
"Retrieve products data","Ürün verisini getir"
"Retrieve products list by filters","Ürün listesini filtreleyerek getir"
"Reviews","Yorumlar"
"Roll Over for preview","Önizleme için Mouse üzerinde gezdirin"
"Root","Ana Dizin"
"SKU","Ürün Kodu"
"SKU length should be %s characters maximum.","SKU verisi uzunluğu en fazla %s karakter olabilir."
"Save","Kaydet"
"Save Attribute","Özelliği Kaydet"
"Save Attribute Set","Özellik Setini Kaydet"
"Save Category","Kategoriyi Kaydet"
"Save Search","Aramayı Kaydet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Saved %d record(s)","%d kayıt kaydedildi."
"Scope","Kapsam"
"Scope must not be changed, because the attribute is used in configurable products.","Kapsamı değiştirmemelisiniz, çünkü bu özellik ayarlanabilir ürünlerde kullanıldı."
"Search","Arama"
"Search Engine Optimizations","Arama Motoru Optimizasyonları"
"Search Information","Arama Bilgisi"
"Search Query","Aranan Sorgu"
"Search Term with such search query already exists.","Bu arama kelimesi zaten var."
"Searchable","Aranabilir"
"See price before order confirmation.","Siparişi onaylamadan önce fiyata bakın."
"Select Category...","Kategori Seçiniz..."
"Select Configurable Attributes ","Ayarlanabilir Ürün Özelliklerini Seç "
"Select Product...","Ürün Seçiniz..."
"Select type of option","Seçenek tipi Seçiniz"
"Select type options required values rows.","Seçenek tipi için gerekli değerleri seçiniz."
"Selected Product Types","Seçilen Ürün Tipleri"
"Send Count","Sayımı Gönder"
"Set Ascending Direction","Küçükten Büyüğe Sıralamayı Ayarla"
"Set Descending Direction","Büyükten Küçüğe Sıralamayı Ayarla"
"Set Name","İsmi Ayarla"
"Set Root Category for Store","Mağaza için En Üst Kategoriyi seçiniz"
"Set root category for this store in the <a href=""%s"">configuration</a>","Mağaza için En Üst Kategoriyi seçmek için <a href=""%s"">buraya</a> tıklayınız"
"Set special price","Özel fiyat ayarla"
"Set/Get current store view","Mevcut mağaza görünümünü Ayarla/Getir"
"Settings","Ayarlar"
"Shop By","Ürünleri Filtrele"
"Shopping Options","Alışveriş Seçenekleri"
"Show","Göster"
"Show Details","Detayları Göster"
"Show Tags","Etiketleri Göster"
"Simple Product","Basit Ürün"
"Site Map","Site Haritası"
"Sitemap","Site Haritası"
"Skip import row, is not valid value ""%s"" for field ""%s""","Satırı verisi alımını atla, ""%s"" geçerli bir değer değil. ( Alan: ""%s"")"
"Skip import row, required field ""%s"" for the new customer is not defined.","Satır verisi alımını atla, yeni müşteri için gerekli ""%s"" alanı boş."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Satır verisi alımını atla, ""%s"" değeri ""%s"" alanı için geçerli değil"
"Skipping import row, required field ""%s"" for new products is not defined.","Satır verisi alımı atlanıyor, yeni ürün için zorunlu alan olan ""%s"" ayarlanmadı."
"Skipping import row, required field ""%s"" is not defined.","Satır verisi alımı atlanıyor, zorunlu alan olan ""%s"" ayarlanmadı."
"Skipping import row, store ""%s"" field does not exist.","Satır verisi alımı atlanıyor, mağaza ""%s"" alanı bulunamadı."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Satır verisi alımı atlanıyor, ""%s"" değeri ""%s"" alanı için geçerli değil."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","İşlenen bazı ürünlerinde SKU değeri bulunamadı. Bu ürünlerle ilgili işlemi tamamlamak için verileri giriniz."
"Some of the selected item options are not currently available.","Seçilen seçeneklerden bazıları şu anda kullanılabilir değil."
"Sort By","Sırala"
"Sort Order","Sıralama"
"Source Model","Kaynak Modeli"
"Special Expires On: %s","Özel Fiyat Bitiş Tarihi: %s"
"Special Price:","Özel Fiyat:"
"Special Price: %s","Özel Fiyat:%s"
"Starting at:","Başlama:"
"Static","Statik"
"Static block and products","Sabit blok ve ürünler"
"Static block only","Sadece sabit blok"
"Status","Durum"
"Stock Availability","Stok Durumu"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Stretch","Esnet"
"Subscribe to RSS Feed","RSS Kaynağına Abone Olun"
"Super product attributes configuration","Süper ürün özellikleri yapılandırma"
"Synonym For","Eşanlamlısı"
"System Properties","Sistem Özellikleri"
"Tag Name","Etiket Adı"
"Tax","Vergi"
"Template","Şablon"
"Text","Yazı"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Sabit Katalog modülü filtrelenebilir ve/veya sıralanabilir özellikler konusunda %2\$d limitine sahiptir. Mevcut değer: %1\$d. Bu modülü kullanabilmek için bu değeri düşürmeyi deneyiniz."
"The From Date value should be less than or equal to the To Date value.","İlk tarih son tarihe eşit veya ondan daha düşük olmalıdır."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Bu özellik kodu \'%s\' sistem tarafından ayrılmıştır. Lütfen farklı bir özellik kodu ile deneyiniz"
"The attribute model is not defined","Özellik modeli tanımlanmadı"
"The attribute set has been saved.","Özellik seti kaydedildi."
"The base directory to upload file is not specified.","Yüklenecek dosyalar için ana klasör seçimi yapılmamış."
"The category has been deleted.","Kategori silindi."
"The category has been saved.","Kategori kaydedildi."
"The comparison list was cleared.","Karşılaştırma listesi temizlendi."
"The file '%s' for '%s' has an invalid extension","'%s' - '%s' dosyasının uzantısı kabul edilmeyen bir uzantıya sahip"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","'%s' dosyası izin verilen en büyük dosya boyutundan %s MB daha büyük"
"The file you uploaded is larger than %s Megabytes allowed by server","Yüklemek istediğiniz dosya izin verilen en büyük dosya boyutundan %s MB daha büyük."
"The filters must be an array.","Filtreler dizi değişken olmalıdır."
"The image contents is not valid base64 data.","Resim içeriği geçerli base64 verisi değil."
"The image is not specified.","Resim tanımlanmadı."
"The model collection resource name is not defined.","Model koleksiyonu kaynak adı belirtilmedi."
"The product %s has been added to comparison list.","%s adlı ürün karşılaştırma listesine eklendi."
"The product %s has been removed from comparison list.","%s adlı ürün karşılaştırma listesinden silindi."
"The product attribute has been deleted.","Ürün özelliği silindi."
"The product attribute has been saved.","Ürün özelliği kaydedildi."
"The product has been created.","Ürün oluşturuldu."
"The product has been deleted.","Ürün silindi."
"The product has been duplicated.","Ürün çoğaltıldı."
"The product has been saved.","Ürün kaydedildi."
"The product has required options","Ürün için belirlenmesi gereken seçenekler var"
"The review has been deleted","Yorum silindi"
"The review has been saved.","Yorum kaydedildi."
"The review was removed by another user or does not exist.","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı."
"The search was deleted.","Arama silindi."
"The text is too long","Yazı çok uzun"
"There are no %s available.","Hiç %s yok."
"There are no customers for this alert","Bu alarma bağlı müşteri yok"
"There are no customers for this alert.","Bu alarma bağlı müşteri yok."
"There are no products matching the selection.","Seçiminizle eşleşen ürün bulunamadı."
"There was an error while request processing.","Talep edilen işlem esnasında bir hata meydana geldi."
"This Attribute no longer exists","Bu Özellik bulunamıyor"
"This attribute cannot be deleted.","Bu özellik silinemedi."
"This attribute cannot be edited.","Bu özellik düzenlemedi."
"This attribute cannot be updated.","Bu özellik güncellenemedi."
"This attribute is used in configurable products.","Bu özellik ayarlanabilir ürünlerde kullanıldı."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Bu özellik ayarlanabilir ürünlerde kullanıldı. Bu özelliği, özellik setinden çıkaramazsınız."
"This attribute no longer exists","Bu Özellik bulunamıyor"
"This attribute set no longer exists.","Bu özellik seti kaydına ulaşılamıyor."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Bu gruptaki bazı özellikler bazı ayarlanabilir ürünlerde kullanıldı. Bu özellikleri başka gruba kaydırarak tekrar deneyiniz."
"This group contains system attributes. Please move system attributes to another group and try again.","Bu grup bazı sistem özelliklerini içeriyor. Bu sistem özelliklerini başka gruba kaydırıp tekrar deneyiniz."
"This is a required option","Bu seçenek zorunludur"
"This product no longer exists.","Bu ürün kaydına ulaşılamıyor."
"This search no longer exists.","Arama kaydına ulaşılamıyor."
"This setting will be applied when all prices in the specific price interval are equal.","Bu ayar, belirli bir fiyat aralığında fiyatların eşit olması durumunda uygulanacak."
"Tier Pricing","Kanal Fiyatı"
"Tile","Döşe"
"Time Format","Zaman Biçimi"
"Title","Başlık"
"To reindex the enabled product(s), the store or product must be specified","Açık olan ürünleri yeniden indekslemek için, mağaza veya ürün seçmelisiniz"
"To see product price, add this item to your cart. You can always remove it later.","Ürünün fiyatını görmek için sepetinize ekleyiniz. İstediğiniz zaman sepetinizden bu ürünü silebilirsiniz."
"Top/Left","Üst/Sol"
"Top/Right","Üst/Sağ"
"Total Qty Base Items","Temel Ürün Adedi"
"Total incl. Tax: %1$s","Vergi Dahil Toplam: %1$s"
"Total of %d record(s) have been deleted.","Toplam %d kayıt silindi."
"Total of %d record(s) have been updated.","Toplam %d kayıt güncellendi."
"Total of %d record(s) were updated","Toplam %d kayıt güncellendi"
"Type","Tip"
"URL Rewrite Management","URL yeniden yazım yönetimi"
"Unable to complete this request.","Bu istek tamamlanamadı."
"Unable to find a search term to delete.","Silinecek arama kelimesi bulunamadı."
"Unable to find an attribute to delete.","Silinecek özellik bulunamadı."
"Unable to get the product ID.","Ürün numarası alınamadı."
"Unassigned Attributes","Atanmamış Ürün Özellikleri"
"Unknown EAV indexer type ""%s"".","Bilinmeyen EAV indeksleyici tipi ""%s""."
"Unknown attribute: %s.","Bilinmeyen özellik: %s."
"Unsupported product type ""%s"".","Desteklenmeyen ürün tipi ""%s""."
"Up-sells","Üst Satışlar"
"Update","Güncelle"
"Update Attributes","Özellikleri Güncelle"
"Update Tier Price","Kanal Fiyatını Güncelle"
"Update assigned product","Atanan ürünleri güncelle"
"Update attribute","Özelliği Güncele"
"Update attributes","Özellikleri Güncelle"
"Update category","Kategoriyi Güncelle"
"Update custom option of product","Ürünün özel seçeneklerini güncelle"
"Update product","Ürünü Güncelle"
"Update product image","Ürün resmini Güncelle"
"Update product link","Ürün linkini güncelle"
"Update product tier prices","Ürün katman fiyatlarını güncelle"
"Update value of custom option","Özel seçeneğin değerini güncelle"
"Upload new product image ","Yeni ürün resmi yükle"
"Use Canonical Link Meta Tag For Categories","Kategoriler için sanal link meta etiketi kullan"
"Use Canonical Link Meta Tag For Products","Ürünler için sanal link meta etiketi kullan"
"Use Categories Path for Product URLs","Kategori yolunu ürün Url lerinde kullan"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"Use Flat Catalog Category","Sabit Katalog Kategori Tablosu Kullan"
"Use Flat Catalog Product","Ürünlerde Sabit Katalog Kullan"
"Use In Layered Navigation","Katmanlı Gezinmede Kullan"
"Use In Search Results Layered Navigation","Arama Sonuçları Katmanlı Gezinme alanında kullan"
"Use JavaScript Calendar","JavaScript Takvim Kullan"
"Use Static URLs for Media Content in WYSIWYG for Catalog","WYSIWYG editöründe resimler için statik URL kullan"
"Use To Create Configurable Product","Ayarlanabilir Ürün oluştururken kullan"
"Use Tree Like Category Sitemap","Ağaç Tipi Kategori Site Haritası Kullan"
"Use config","Yapılandırmayı kullan"
"Use default","Varsayılanı Kullan"
"Use for Promo Rule Conditions","Promosyon Kuralı Koşullarında Kullan"
"Use four-digit year format.","4 haneli yıl biçimi kullanınız."
"Use in Advanced Search","Gelişmiş Aramada kullan"
"Use in Layered Navigation","Katmanlı Gezinmede Kullan"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Katmanlı Gezinmede Kullan <br/>(Sadece katalogdaki 'Açılır Menü' tipindeki alanlarda kullanılır)"
"Use in Quick Search","Hızlı aramada kullan"
"Used for Sorting in Product Listing","Ürün Listesinde Sıralama için Kullan"
"Used in Product Listing","Ürün Listelemede Kullanıldı"
"Value for ""%s"" is invalid.","""%s"" için değer geçersizdir."
"Value for ""%s"" is invalid: %s","""%s"" için hatalı değer: %s"
"Varchar","Varchar"
"View as","Listeleme Şekli"
"Virtual Product","Sanal Ürün"
"Visibility","Görünürlük"
"Visible","Görünür"
"Visible on Catalog Pages on Front-end","Ön Sayfadaki Katalog Sayfalarında Görünür"
"Visible on Product View Page on Front-end","Site önyüzündeki Ürün Görünüm Sayfasında Görünür"
"WYSIWYG Editor","WYSIWYG Editör"
"Watermark","Resim Kopya Koruması"
"Watermark Default Size","Resim Kopya Koruması Boyutu"
"Watermark Opacity, Percent","Resim Kopya Koruması Saydamlık, Yüzde"
"Watermark Position","Resim Kopya Koruma Konumu"
"We Also Recommend","Bunları da tavsiye ediyoruz"
"Website","Websitesi"
"Websites","Websiteleri"
"What's this?","Bu nedir?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","""Sayfa başı X kayıt göster"" seçeneğinde ""Hepsi"" seçeneğini de göster."
"Will make search for the query above return results for this search.","Yukarıdaki arama sorgusunun içinde arama yapılacak."
"Wrong BuyRequest instance in options group.","Seçenek grubunda hatalı BuyRequest örneği."
"Wrong configuration item instance in options group.","Seçenek grubunda hatalı yapılandırma örneği."
"Wrong configuration item option instance in options group.","Seçenek grubunda hatalı yapılandırma seçenek örneği."
"Wrong option instance type in options group.","Seçenekler grubunda hatalı ürün örnek tipi"
"Wrong option type to get group instance.","Grup örneği alınırken Hatalı Seçenek Tipi."
"Wrong product instance type in options group.","Seçenekler grubunda hatalı ürün örnek tipi"
"Wrong product type filter specified","Hatalı ürün tip filtresi tanımlandı"
"Wrong product type to extract configurable options.","Ayarlanabilir ürün seçeneklerini almak için yanlış ürün."
"Year Range","Yıl Aralığı"
"Yes","Evet"
"You cannot remove system attribute from this set.","Sistem özelliğini bu setten özellik setinden silemezsiniz."
"You have no items to compare.","Karşılaştırılacak ürün eklemediniz."
"You may also be interested in the following product(s)","Aşağıdaki ürünleri zaten takip listenize eklediniz."
"Zoom In","Yaklaştır"
"Zoom Out","Uzaklaştır"
"and","ve"
"and above","ve üstü"
"categories","Kategoriler"
"each","her"
"ex. http://domain.com","ör. http://domain.com"
"leave blank if its not an image","eğer resim değilse boş bırakınız"
"per page","sayfa başı"
"products","Ürünler"
"px.","px."
"save","Kaydet"
"select all","Hepsini Seç"
"unselect all","tüm seçimi kaldır"
"x","x"
